"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"SPRnsnf",1,0.87038853140561,0.77660983281161,0.707149137848943,0.654550596202823,0.613899071263771,0.581893286790408,0.556273182955031,0.535461527752964,0.518336516137661
"SPRsnf",1,0.872274594779932,0.778788883084842,0.709038871729747,0.656008543364727,0.614954461795492,0.582627315803272,0.556769928804346,0.535791102247667,0.518551935180736
"SPRnsf",1,0.819320698538149,0.67931807197376,0.570312187857227,0.484678729268041,0.416679258661957,0.362076793296416,0.317756403844591,0.281418583563511,0.251350925701431
"SPRsf",1,0.875703158859773,0.764964625763172,0.667382363036034,0.582198913954867,0.508421195238657,0.444927450811844,0.390554244281477,0.344161272204294,0.304675239458388
