"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Ynsnf",0,572.257672067751,977.884045707288,1276.08400598352,1502.3688195349,1678.75413163249,1819.35446309012,1933.52252681993,2027.65431447789,2106.25414868082
"Ysnf",0,498.226017222172,876.384337633943,1169.63871052155,1401.40925364536,1587.6293066349,1739.37910909147,1864.53559972068,1968.8202554706,2056.47479349541
"Ynsf",0,572.257589335226,977.883669031258,1276.08307786865,1502.36706182682,1678.75126446798,1819.35021738839,1933.51665178915,2027.64658182345,2106.2443548658
"Ysf",0,498.226028615363,876.384323127324,1169.6385559813,1401.40878654594,1587.62831343209,1739.37735017383,1864.53282170344,1968.81620121782,2056.46921041791
